Player, Attempts, Completions, Yards, CompletionPct, Interceptions, QBR, Touchdowns


Drake Maye, 386, 276, 3412, 71.5, 6, 72.2, 23
Justin Herbert, 422, 277, 2981, 65.6, 11, 58.3, 22
Patrick Mahomes, 474, 299, 3398, 63.1, 10, 69.4, 22
Baker Mayfield, 417, 257, 2722, 61.6, 6, 60.0, 20 
Sam Darnold, 354, 241, 3162, 68.1, 11, 64.4, 22 
Trevor Lawrence, 425, 253, 2880, 59.5, 11, 47.1, 18
Josh Allen, 265, 378, 3083, 70.1, 10, 65.2, 22 
Daniel Jones, 384, 261, 3101, 68.0, 8, 64.1, 19
Geno Smith, 397, 266, 2648, 67.0, 14, 32.5, 16
Tua Tagovailoa, 356, 238, 2407, 66.9, 14, 38.4, 18 
Jordan Love, 386, 259, 3028, 67.1, 4, 73.0, 22
Jared Goff, 412, 289, 3334, 70.1, 5, 56.5, 26
Jalen Hurts, 382, 247, 2754, 64.7, 6, 51.9, 19
Cam Ward, 440, 260, 2468, 59.1, 7, 30.9, 9
Caleb Williams, 431, 249, 2908, 57.8, 6, 53.3, 19 
Mathew Stafford, 432, 288, 3354, 66.7, 4, 68.8, 35
Bo Nix, 470, 297, 2954, 63.2, 9, 55.8, 19
Dak Prescott, 484, 334, 3637, 69.0, 10, 73.4, 26
Bryce Young, 230, 363, 2337, 63.4, 9, 45.9, 18
Aaron Rodgers, 344, 225, 2370, 65.4, 7, 42.3, 20 
CJ Stroud, 308, 198, 2181, 64.3, 6, 62.6, 12
Lamar Jackson, 262, 166, 2060, 63.4, 5, 60.0, 16 
Jaxson Dart, 228, 145, 1556, 63.6, 3, 65.1, 11
Jacoby Brissett, 346, 229, 2459, 66.2, 5, 43.9, 15 
Mac Jones, 289, 201, 2151, 69.6, 6, 63.8, 13
Joe Flacco, 410, 247, 2451, 60.2, 10, 41.3, 15
Double Jasper, 422, 411, 5000, 97.4, 1, 90, 40
